year,nik,sp500,nikkei
1928,25.65,17.76,2.565
1929,21.32,24.81,2.132
1930,16.82,21.18,1.682
1931,16.28,15.85,1.628
1932,30.33,7.82,3.033
1933,34.12,6.83,3.412
1934,32.3,10.11,3.23
1935,33.76,9.51,3.376
1936,35.94,13.4,3.594
1937,37.33,17.02,3.733
1938,33.66,10.52,3.366
1939,44.96,13.08,4.496
1940,37.42,12.63,3.742
1941,42.44,10.48,4.244
1942,42.71,8.89,4.271
1943,42.11,9.84,4.211
1944,41.82,11.66,4.182
1945,40.53,13.33,4.053
1946,28.72,17.25,2.872
1947,39.31,15.2,3.931
1948,72.84,15.34,7.284
1949,109.91,14.95,10.991
1950,101.91,16.66,10.191
1951,166.06,20.77,16.606
1952,362.64,23.8,36.264
1953,377.95,26.54,37.795
1954,356.09,24.95,35.609
1955,425.69,36.75,42.569
1956,549.14,45.16,54.914
1957,474.55,46.2,47.455
1958,666.54,40.33,66.654
1959,874.88,55.44,87.488
1960,1356.71,59.91,135.671
1961,1432.6,57.57,143.26
1962,1420.43,70.96,142.043
1963,1225.1,62.69,122.51
1964,1216.55,75.43,121.655
1965,1417.83,84.23,141.783
1966,1452.1,92.18,145.21
1967,1283.47,80.38,128.347
1968,1714.89,96.11,171.489
1969,2358.96,103.93,235.896
1970,1987.14,93,198.714
1971,2713.74,91.15,271.374
1972,5207.94,101.67,520.794
1973,4306.8,119.1,430.68
1974,3817.22,97.68,381.722
1975,4358.6,70.23,435.86
1976,4990.85,90.9,499.085
1977,4865.6,107,486.56
1978,6001.85,93.82,600.185
1979,6569.47,96.73,656.947
1980,7116.38,105.76,711.638
1981,7681.84,136.34,768.184
1982,8016.67,122.74,801.667
1983,9893.82,138.34,989.382
1984,11542.6,164.04,1154.26
1985,13113.32,165.37,1311.332
1986,18701.3,209.59,1870.13
1987,21564,246.45,2156.4
1988,30159,255.94,3015.9
1989,38915.87,275.31,3891.587
1990,23848.71,359.69,2384.871
1991,22983.77,326.45,2298.377
1992,16924.95,417.26,1692.495
1993,17417.24,435.38,1741.724
1994,19723.06,465.44,1972.306
1995,19868.15,459.11,1986.815
1996,19361.35,620.73,1936.135
1997,15258.74,737.01,1525.874
1998,13842.17,975.04,1384.217
1999,18934.34,1228.1,1893.434
2000,13785.69,1455.22,1378.569
2001,10542.62,1283.27,1054.262
2002,8578.95,1154.67,857.895
2003,10676.64,909.03,1067.664
2004,11488.76,1108.48,1148.876
2005,16111.43,1202.08,1611.143
2006,17225.83,1268.8,1722.583
2007,15307.78,1416.6,1530.778
2008,8859.56,1447.16,885.956
2009,10546.44,931.8,1054.644
2010,10228.92,1132.99,1022.892
2011,8455.35,1271.87,845.535
2012,10395.18,1277.06,1039.518
2013,16291.31,1462.42,1629.131
2014,17450.77,1831.98,1745.077
2015,19033.71,2058.2,1903.371
2016,19114.4,2012.66,1911.44
2017,22764.94,2257.83,2276.494
2018,20014.77,2695.81,2001.477
2019,23656.62,2510.03,2365.662
2020,27444.17,3257.85,2744.417
2021,28791.71,3700.65,2879.171
,,,
